,title,author_name,book_id,url,is_ebook,is_eng,num_pages,publication_year,publication_month,publication_day,average_rating,to_read,ratings_count,text_reviews_count,author_average_rating,author_ratings_count,author_text_reviews_count
81,The Waste Land,T.S. Eliot,340866,https://www.goodreads.com/book/show/340866.The_Waste_Land,0,1,47.0,1997.0,3.0,1.0,4.12,2234,220,17,4.17,189956,5892
87,Old Possum's Book of Practical Cats,T.S. Eliot,10362335,https://www.goodreads.com/book/show/10362335-old-possum-s-book-of-practical-cats,1,0,80.0,2009.0,10.0,19.0,4.09,15419,9,1,4.17,189956,5892
89,Poems: 1909-1925,T.S. Eliot,7658267,https://www.goodreads.com/book/show/7658267-poems,0,0,128.0,2007.0,3.0,15.0,4.38,10,12,1,4.17,189956,5892
93,The Annotated Waste Land with Eliot’s Contemporary Prose,T.S. Eliot,482486,https://www.goodreads.com/book/show/482486.The_Annotated_Waste_Land_with_Eliot_s_Contemporary_Prose,0,0,304.0,2005.0,4.0,11.0,4.12,2234,22,4,4.17,189956,5892
96,Old Possum's Book of Practical Cats,T.S. Eliot,1925527,https://www.goodreads.com/book/show/1925527.Old_Possum_s_Book_of_Practical_Cats,0,0,56.0,1989.0,4.0,26.0,4.09,15425,19,1,4.17,189956,5892
98,Old Possum's Book Of Practical Cats,T.S. Eliot,474373,https://www.goodreads.com/book/show/474373.Old_Possum_s_Book_Of_Practical_Cats,0,0,56.0,1982.0,8.0,1.0,4.09,15425,4,1,4.17,189956,5892
103,The Waste Land and Other Poems,T.S. Eliot,427278,https://www.goodreads.com/book/show/427278.The_Waste_Land_and_Other_Poems,0,1,108.0,2003.0,2.0,25.0,4.23,5673,467,35,4.17,189956,5892
104,Collected Poems 1909-1962,T.S. Eliot,119226,https://www.goodreads.com/book/show/119226.Collected_Poems_1909_1962,0,1,238.0,2002.0,2.0,18.0,4.29,2317,307,18,4.17,189956,5892
105,Old Possum's Book of Practical Cats,T.S. Eliot,527885,https://www.goodreads.com/book/show/527885.Old_Possum_s_Book_of_Practical_Cats,0,1,64.0,1974.0,1.0,1.0,4.09,15419,225,25,4.17,189956,5892
106,The Elder Statesman,T.S. Eliot,1149170,https://www.goodreads.com/book/show/1149170.The_Elder_Statesman,0,0,134.0,1959.0,12.0,1.0,3.46,79,94,10,4.17,189956,5892
107,The Waste Land and Other Poems,T.S. Eliot,8536936,https://www.goodreads.com/book/show/8536936-the-waste-land-and-other-poems,0,0,148.0,2010.0,12.0,21.0,4.23,5673,21,2,4.17,189956,5892
114,Selected Poems,T.S. Eliot,25526702,https://www.goodreads.com/book/show/25526702-selected-poems,0,1,144.0,2015.0,4.0,2.0,4.24,4498,39,4,4.17,189956,5892
118,Four Quartets,T.S. Eliot,581809,https://www.goodreads.com/book/show/581809.Four_Quartets,0,1,64.0,1968.0,3.0,20.0,4.37,5591,704,62,4.17,189956,5892
121,The Waste Land and Other Poems (Barnes & Noble Classics Series),T.S. Eliot,7132073,https://www.goodreads.com/book/show/7132073-the-waste-land-and-other-poems,1,0,132.0,2009.0,6.0,1.0,4.23,5673,153,11,4.17,189956,5892
122,The Waste Land and Other Poems,T.S. Eliot,504945,https://www.goodreads.com/book/show/504945.The_Waste_Land_and_Other_Poems,0,0,121.0,2005.0,3.0,3.0,4.23,5673,449,54,4.17,189956,5892
123,"The Wasteland, Prufrock and Other Poems",T.S. Eliot,2325390,https://www.goodreads.com/book/show/2325390.The_Wasteland_Prufrock_and_Other_Poems,0,1,81.0,2008.0,7.0,30.0,4.2,6724,7508,159,4.17,189956,5892
125,The Complete Poems and Plays,T.S. Eliot,274893,https://www.goodreads.com/book/show/274893.The_Complete_Poems_and_Plays,0,1,608.0,2004.0,10.0,7.0,4.46,522,459,17,4.17,189956,5892
126,Prufrock and Other Observations,T.S. Eliot,27195137,https://www.goodreads.com/book/show/27195137-prufrock-and-other-observations,0,0,42.0,2015.0,8.0,8.0,4.32,7121,15,1,4.17,189956,5892
131,Selected Prose of T. S. Eliot,T.S. Eliot,3640108,https://www.goodreads.com/book/show/3640108-selected-prose-of-t-s-eliot,0,0,320.0,1975.0,11.0,1.0,3.97,255,10,1,4.17,189956,5892
133,Old Possum's Book of Practical Cats,T.S. Eliot,387263,https://www.goodreads.com/book/show/387263.Old_Possum_s_Book_of_Practical_Cats,0,0,48.0,1939.0,11.0,16.0,4.09,15419,35,4,4.17,189956,5892
137,Selected Poems,T.S. Eliot,386270,https://www.goodreads.com/book/show/386270.Selected_Poems,0,1,128.0,1967.0,10.0,18.0,4.24,4498,6944,79,4.17,189956,5892
138,The Sacred Wood: Essays on Poetry and Criticism,T.S. Eliot,7137233,https://www.goodreads.com/book/show/7137233-the-sacred-wood,0,0,128.0,2009.0,4.0,17.0,3.95,182,2,1,4.17,189956,5892
144,The Use of Poetry and the Use of Criticism,T.S. Eliot,479035,https://www.goodreads.com/book/show/479035.The_Use_of_Poetry_and_the_Use_of_Criticism,0,0,160.0,1986.0,7.0,1.0,4.04,59,116,9,4.17,189956,5892
145,The Waste Land and Other Poems,T.S. Eliot,118391,https://www.goodreads.com/book/show/118391.The_Waste_Land_and_Other_Poems,0,1,100.0,1998.0,2.0,1.0,4.2,6724,576,39,4.17,189956,5892
148,Inventions of the March Hare: Poems 1909-1917,T.S. Eliot,197313,https://www.goodreads.com/book/show/197313.Inventions_of_the_March_Hare,0,0,472.0,1998.0,4.0,1.0,4.05,72,127,7,4.17,189956,5892
161,Old Possum's Book of Practical Cats,T.S. Eliot,1401309,https://www.goodreads.com/book/show/1401309.Old_Possum_s_Book_of_Practical_Cats,0,1,60.0,1968.0,10.0,23.0,4.09,15419,129,17,4.17,189956,5892
162,Skimbleshanks: The Railway Cat,T.S. Eliot,28424282,https://www.goodreads.com/book/show/28424282-skimbleshanks,0,0,32.0,2015.0,11.0,5.0,4.13,11,21,5,4.17,189956,5892
167,The Ariel Poems: Illustrated Poems for Christmas,T.S. Eliot,24920551,https://www.goodreads.com/book/show/24920551-the-ariel-poems,0,1,48.0,2014.0,11.0,6.0,3.95,12,21,5,4.17,189956,5892
171,The Waste Land,T.S. Eliot,11013027,https://www.goodreads.com/book/show/11013027-the-waste-land,1,0,19.0,2011.0,3.0,24.0,4.12,2234,784,16,4.17,189956,5892
175,Old Possum's Book of Practical Cats,T.S. Eliot,10021194,https://www.goodreads.com/book/show/10021194-old-possum-s-book-of-practical-cats,0,1,80.0,2010.0,10.0,7.0,4.09,15425,40,5,4.17,189956,5892
177,Prufrock and Other Observations,T.S. Eliot,11081746,https://www.goodreads.com/book/show/11081746-prufrock-and-other-observations,1,1,27.0,2011.0,3.0,4.0,4.32,7121,162,4,4.17,189956,5892
178,Letters of T.S. Eliot: 1898-1922,T.S. Eliot,80417,https://www.goodreads.com/book/show/80417.Letters_of_T_S_Eliot,0,1,704.0,1990.0,9.0,24.0,4.19,194,84,6,4.17,189956,5892
180,Selected Prose,T.S. Eliot,79942,https://www.goodreads.com/book/show/79942.Selected_Prose,0,0,324.0,1975.0,11.0,10.0,3.97,255,261,6,4.17,189956,5892
186,The Sacred Wood,T.S. Eliot,453983,https://www.goodreads.com/book/show/453983.The_Sacred_Wood,0,1,176.0,1997.0,4.0,21.0,3.95,182,201,10,4.17,189956,5892
188,The Waste Land and Other Poems,T.S. Eliot,400412,https://www.goodreads.com/book/show/400412.The_Waste_Land_and_Other_Poems,0,1,88.0,1955.0,8.0,4.0,4.23,5683,39309,451,4.17,189956,5892
194,أرض الضياع,T.S. Eliot,13409536,https://www.goodreads.com/book/show/13409536,0,0,167.0,2011.0,7.0,30.0,4.12,2234,43,18,4.17,189956,5892
195,Louder Than Everything You Love,Nicole Rollender,29065952,https://www.goodreads.com/book/show/29065952-louder-than-everything-you-love,0,1,118.0,2015.0,12.0,23.0,5.0,228,9,4,4.9,21,8
196,Su Seviyesi,Joseph Brodsky,35235890,https://www.goodreads.com/book/show/35235890-su-seviyesi,0,0,128.0,2017.0,5.0,26.0,4.09,1208,4,1,4.25,8029,513
198,Strohalmen voor de lezer: een ruime keuze uit de gedichten,Joseph Brodsky,25760635,https://www.goodreads.com/book/show/25760635-strohalmen-voor-de-lezer,0,0,804.0,2015.0,6.0,8.0,4.29,16,7,4,4.25,8029,513
199,So Forth: Poems,Joseph Brodsky,582961,https://www.goodreads.com/book/show/582961.So_Forth,0,0,144.0,1998.0,3.0,4.0,4.04,95,125,7,4.25,8029,513
202,Conversazioni,Joseph Brodsky,26865016,https://www.goodreads.com/book/show/26865016-conversazioni,0,0,314.0,2015.0,10.0,1.0,4.14,61,5,4,4.25,8029,513
207,Nativity Poems,Joseph Brodsky,1402086,https://www.goodreads.com/book/show/1402086.Nativity_Poems,0,0,113.0,2001.0,11.0,10.0,4.18,77,16,3,4.25,8029,513
209,Watermark: An Essay on Venice,Joseph Brodsky,13553406,https://www.goodreads.com/book/show/13553406-watermark,0,1,135.0,2012.0,9.0,6.0,4.09,1208,58,10,4.25,8029,513
213,Nativity Poems,Joseph Brodsky,796260,https://www.goodreads.com/book/show/796260.Nativity_Poems,0,0,128.0,2002.0,11.0,13.0,4.18,77,92,12,4.25,8029,513
215,To Urania: Poems,Joseph Brodsky,613740,https://www.goodreads.com/book/show/613740.To_Urania,0,0,174.0,1992.0,4.0,1.0,4.33,187,226,6,4.25,8029,513
217,Watermark,Joseph Brodsky,320601,https://www.goodreads.com/book/show/320601.Watermark,0,1,144.0,1993.0,6.0,1.0,4.09,1208,873,77,4.25,8029,513
218,On Grief and Reason: Essays,Joseph Brodsky,320600,https://www.goodreads.com/book/show/320600.On_Grief_and_Reason,0,1,504.0,1997.0,4.0,10.0,4.3,276,298,25,4.25,8029,513
221,Το τραγούδι του εκκρεμούς,Joseph Brodsky,18172391,https://www.goodreads.com/book/show/18172391,0,0,154.0,2010.0,7.0,22.0,4.3,276,13,1,4.25,8029,513
224,Bronx Masquerade,Nikki Grimes,1251990,https://www.goodreads.com/book/show/1251990.Bronx_Masquerade,0,0,167.0,2003.0,12.0,1.0,3.95,2538,3,1,3.92,16920,3380
226,What is Goodbye?,Nikki Grimes,972086,https://www.goodreads.com/book/show/972086.What_is_Goodbye_,0,0,64.0,2004.0,4.0,1.0,3.88,59,96,31,3.92,16920,3380
227,Poems in the Attic,Nikki Grimes,22162514,https://www.goodreads.com/book/show/22162514-poems-in-the-attic,0,0,48.0,2015.0,5.0,15.0,3.85,139,310,82,3.92,16920,3380
229,When Gorilla Goes Walking,Nikki Grimes,773277,https://www.goodreads.com/book/show/773277.When_Gorilla_Goes_Walking,0,1,32.0,2007.0,5.0,1.0,3.59,24,85,25,3.92,16920,3380
230,Garvey's Choice,Nikki Grimes,28695534,https://www.goodreads.com/book/show/28695534-garvey-s-choice,0,0,120.0,2016.0,10.0,4.0,3.98,1183,1328,364,3.92,16920,3380
231,One Last Word: Wisdom from the Harlem Renaissance,Nikki Grimes,30039046,https://www.goodreads.com/book/show/30039046-one-last-word,0,1,128.0,2017.0,1.0,3.0,4.35,966,445,151,3.92,16920,3380
232,Aneesa Lee and the Weaver's Gift,Nikki Grimes,661947,https://www.goodreads.com/book/show/661947.Aneesa_Lee_and_the_Weaver_s_Gift,0,0,32.0,1999.0,10.0,27.0,4.38,10,8,2,3.92,16920,3380
233,"Danitra Brown, Class Clown",Nikki Grimes,663738,https://www.goodreads.com/book/show/663738.Danitra_Brown_Class_Clown,0,0,32.0,2005.0,7.0,26.0,3.96,34,71,29,3.92,16920,3380
237,Meet Danitra Brown,Nikki Grimes,4885888,https://www.goodreads.com/book/show/4885888-meet-danitra-brown,0,0,32.0,1994.0,4.0,29.0,4.1,142,4,3,3.92,16920,3380
238,Dark Sons,Nikki Grimes,30351254,https://www.goodreads.com/book/show/30351254-dark-sons,0,0,208.0,2017.0,1.0,3.0,3.83,503,4,3,3.92,16920,3380
240,Meet Danitra Brown,Nikki Grimes,848296,https://www.goodreads.com/book/show/848296.Meet_Danitra_Brown,0,1,32.0,1997.0,9.0,22.0,4.1,142,175,57,3.92,16920,3380
241,Dark Sons,Nikki Grimes,848295,https://www.goodreads.com/book/show/848295.Dark_Sons,0,0,224.0,2007.0,4.0,1.0,3.83,503,378,82,3.92,16920,3380
242,Is it Far to Zanzibar?,Nikki Grimes,2229555,https://www.goodreads.com/book/show/2229555.Is_it_Far_to_Zanzibar_,0,1,32.0,2000.0,3.0,1.0,2.9,12,9,2,3.92,16920,3380
243,The Watcher,Nikki Grimes,35072625,https://www.goodreads.com/book/show/35072625-the-watcher,0,0,42.0,2017.0,10.0,9.0,3.88,70,51,16,3.92,16920,3380
245,Under the Christmas Tree,Nikki Grimes,1972660,https://www.goodreads.com/book/show/1972660.Under_the_Christmas_Tree,0,0,32.0,2002.0,10.0,1.0,3.97,28,37,12,3.92,16920,3380
246,When Daddy Prays,Nikki Grimes,3153958,https://www.goodreads.com/book/show/3153958-when-daddy-prays,0,0,32.0,2002.0,1.0,16.0,4.46,37,52,14,3.92,16920,3380
247,Tai Chi Morning: Snapshots of China,Nikki Grimes,2094961,https://www.goodreads.com/book/show/2094961.Tai_Chi_Morning,0,0,64.0,2004.0,1.0,14.0,3.29,13,14,3,3.92,16920,3380
248,Dark Sons,Nikki Grimes,857001,https://www.goodreads.com/book/show/857001.Dark_Sons,0,0,224.0,2005.0,9.0,15.0,3.83,503,24,9,3.92,16920,3380
250,Words with Wings,Nikki Grimes,16192212,https://www.goodreads.com/book/show/16192212-words-with-wings,0,1,96.0,2013.0,9.0,1.0,3.96,3267,2248,390,3.92,16920,3380
251,Planet Middle School,Nikki Grimes,10636878,https://www.goodreads.com/book/show/10636878-planet-middle-school,0,1,160.0,2011.0,9.0,13.0,3.77,867,710,164,3.92,16920,3380
254,A Pocketful of Poems,Nikki Grimes,868715,https://www.goodreads.com/book/show/868715.A_Pocketful_of_Poems,0,0,32.0,2001.0,1.0,22.0,3.85,39,67,20,3.92,16920,3380
255,It's Raining Laughter,Nikki Grimes,868716,https://www.goodreads.com/book/show/868716.It_s_Raining_Laughter,0,0,32.0,2005.0,3.0,1.0,3.79,14,14,3,3.92,16920,3380
256,My Man Blue,Nikki Grimes,3401426,https://www.goodreads.com/book/show/3401426-my-man-blue,0,0,32.0,1999.0,5.0,1.0,4.31,83,10,4,3.92,16920,3380
257,"Oh, Brother!",Nikki Grimes,2593282,https://www.goodreads.com/book/show/2593282-oh-brother,0,0,32.0,2007.0,12.0,26.0,4.01,35,73,28,3.92,16920,3380
260,Borderlands / La Frontera: The New Mestiza,Gloria E. Anzaldua,13427917,https://www.goodreads.com/book/show/13427917-borderlands-la-frontera,0,0,312.0,2012.0,6.0,12.0,4.25,6964,285,19,4.33,15549,576
261,Borderlands/La Frontera: The New Mestiza,Gloria E. Anzaldua,45884,https://www.goodreads.com/book/show/45884.Borderlands_La_Frontera,0,0,288.0,2007.0,6.0,1.0,4.25,6964,388,19,4.33,15549,576
262,Borderlands/La Frontera: The New Mestiza,Gloria E. Anzaldua,45882,https://www.goodreads.com/book/show/45882.Borderlands_La_Frontera,0,0,260.0,1999.0,5.0,1.0,4.25,6964,5941,202,4.33,15549,576
263,Borderlands/ La Frontera: The New Mestiza,Gloria E. Anzaldua,665654,https://www.goodreads.com/book/show/665654.Borderlands_La_Frontera,0,0,251.0,1999.0,1.0,1.0,4.25,6964,221,14,4.33,15549,576
264,"Making Face, Making Soul/Haciendo Caras: Creative and Critical Perspectives by Feminists of Color",Gloria E. Anzaldua,873233,https://www.goodreads.com/book/show/873233.Making_Face_Making_Soul_Haciendo_Caras,0,0,448.0,1995.0,1.0,1.0,4.39,1667,854,15,4.33,15549,576
265,Naked Soul: The Erotic Love Poems,Salil Jha,24849837,https://www.goodreads.com/book/show/24849837-naked-soul,0,1,172.0,2015.0,1.0,9.0,3.95,853,27,10,3.95,40,16
269,Rincón de haikus,Mario Benedetti,4525853,https://www.goodreads.com/book/show/4525853-rinc-n-de-haikus,0,0,239.0,1999.0,11.0,16.0,3.68,86,220,23,4.1,32727,2535
271,Vivir adrede,Mario Benedetti,3450281,https://www.goodreads.com/book/show/3450281-vivir-adrede,0,0,145.0,2008.0,2.0,6.0,3.81,348,400,27,4.1,32727,2535
274,Geografias,Mario Benedetti,9491833,https://www.goodreads.com/book/show/9491833-geografias,0,0,368.0,2010.0,2.0,1.0,4.09,85,20,3,4.1,32727,2535
276,Inventario I,Mario Benedetti,7935050,https://www.goodreads.com/book/show/7935050-inventario-i,0,1,128.0,2009.0,8.0,1.0,4.42,359,40,2,4.1,32727,2535
282,Witness: The Selected Poems of Mario Benedetti,Mario Benedetti,13236959,https://www.goodreads.com/book/show/13236959-witness,0,0,384.0,2012.0,3.0,20.0,4.49,149,49,9,4.1,32727,2535
285,El porvenir de mi pasado,Mario Benedetti,6617446,https://www.goodreads.com/book/show/6617446-el-porvenir-de-mi-pasado,0,0,464.0,2009.0,4.0,1.0,4.01,161,267,14,4.1,32727,2535
286,"El amor, las mujeres y la vida",Mario Benedetti,25620043,https://www.goodreads.com/book/show/25620043-el-amor-las-mujeres-y-la-vida,0,0,208.0,2015.0,7.0,2.0,4.33,1279,43,13,4.1,32727,2535
288,Only in the Meantime & Office Poems,Mario Benedetti,261871,https://www.goodreads.com/book/show/261871.Only_in_the_Meantime_Office_Poems,0,0,87.0,2006.0,6.0,1.0,3.94,57,9,4,4.1,32727,2535
289,Inventario I: Poesia Completa (1950-1985),Mario Benedetti,53401,https://www.goodreads.com/book/show/53401.Inventario_I,0,0,637.0,2002.0,4.0,1.0,4.42,359,24,4,4.1,32727,2535
291,Inventario II: Poesía completa (1986-1991),Mario Benedetti,53404,https://www.goodreads.com/book/show/53404.Inventario_II,0,0,356.0,2002.0,4.0,1.0,4.34,270,476,10,4.1,32727,2535
294,Antología poética,Mario Benedetti,1686981,https://www.goodreads.com/book/show/1686981.Antolog_a_po_tica,0,0,248.0,2000.0,1.0,1.0,4.35,141,396,12,4.1,32727,2535
295,Canciones del mas aca,Mario Benedetti,2008435,https://www.goodreads.com/book/show/2008435.Canciones_del_mas_aca,0,0,160.0,2002.0,2.0,19.0,3.8,15,4,1,4.1,32727,2535
296,"El amor, las mujeres y la vida",Mario Benedetti,571091,https://www.goodreads.com/book/show/571091.El_amor_las_mujeres_y_la_vida,0,0,184.0,2006.0,2.0,1.0,4.33,1280,23,6,4.1,32727,2535
298,"El amor, las mujeres y la vida",Mario Benedetti,53397,https://www.goodreads.com/book/show/53397.El_amor_las_mujeres_y_la_vida,0,0,176.0,2006.0,11.0,24.0,4.33,1280,1497,79,4.1,32727,2535
299,Little Stones at My Window: Selected Poems,Mario Benedetti,53399,https://www.goodreads.com/book/show/53399.Little_Stones_at_My_Window,0,0,400.0,2003.0,2.0,1.0,4.54,43,28,4,4.1,32727,2535
301,Despistes y franquezas,Mario Benedetti,261876,https://www.goodreads.com/book/show/261876.Despistes_y_franquezas,0,0,256.0,2002.0,1.0,22.0,4.18,80,124,3,4.1,32727,2535
304,Biografía para encontrarme,Mario Benedetti,13505235,https://www.goodreads.com/book/show/13505235-biograf-a-para-encontrarme,0,0,132.0,2011.0,5.0,11.0,3.93,87,120,17,4.1,32727,2535
306,La muerte y otras sorpresas,Mario Benedetti,1708780,https://www.goodreads.com/book/show/1708780.La_muerte_y_otras_sorpresas,0,0,160.0,2005.0,6.0,15.0,4.12,281,482,20,4.1,32727,2535
307,Black Liquor: Poems,Dennis E. Bolen,20544060,https://www.goodreads.com/book/show/20544060-black-liquor,0,0,128.0,2013.0,9.0,1.0,4.0,3,3,1,3.5,38,4
308,Little Boy Blue: A Memoir in Verse,Gray Jacobik,10898316,https://www.goodreads.com/book/show/10898316-little-boy-blue,0,0,63.0,2011.0,2.0,8.0,4.09,8,11,5,4.41,129,26
309,ذاكرة للنسيان,Mahmoud Darwish,17510247,https://www.goodreads.com/book/show/17510247,0,0,228.0,1990.0,1.0,1.0,4.16,5163,13,3,4.15,40849,4712
313,أحبك أو لا أحبك,Mahmoud Darwish,10049570,https://www.goodreads.com/book/show/10049570,0,0,101.0,1993.0,10.0,1.0,3.79,705,415,64,4.15,40849,4712
314,"Unfortunately, It Was Paradise: Selected Poems",Mahmoud Darwish,130546,https://www.goodreads.com/book/show/130546.Unfortunately_It_Was_Paradise,0,0,210.0,2003.0,1.0,28.0,4.39,1139,345,30,4.15,40849,4712
315,Why Did You Leave the Horse Alone?,Mahmoud Darwish,130548,https://www.goodreads.com/book/show/130548.Why_Did_You_Leave_the_Horse_Alone_,0,1,197.0,2006.0,4.0,12.0,4.06,581,122,10,4.15,40849,4712
317,في حضرة الغياب,Mahmoud Darwish,6344897,https://www.goodreads.com/book/show/6344897,0,0,186.0,2006.0,1.0,1.0,4.33,120,2335,235,4.15,40849,4712
320,Selected Poems,Mahmoud Darwish,1277199,https://www.goodreads.com/book/show/1277199.Selected_Poems,0,1,88.0,1973.0,12.0,31.0,4.15,386,16,1,4.15,40849,4712
328,عاشق من فلسطين,Mahmoud Darwish,7360515,https://www.goodreads.com/book/show/7360515,0,0,88.0,1993.0,1.0,1.0,4.03,921,575,77,4.15,40849,4712
